,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,V1_Vehicle,V2_Driver_,Pedalcycli,Pedestrian,Motorcycli,V1_Type
8936,3.0,14.0,0.0,1.40804908851733,0.0011428571428571,0.0,3.0,0.0,2.0,1.0575,2.08143736617235,0.0,0.0,0.0,,,,,,
8937,0.0,15.0,0.0,8.0,0.0,3.0,12.0,0.0,2.0,1.17166666666667,2.02570170940171,0.0,0.0,0.0,,,,,,
8938,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.02,1.90666666666667,0.0,0.0,7.0,,,,,,
8939,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,2.0,1.13,2.0,1.0,1.0,0.0,,,,,,
8940,1.0,3.0,1.0,0.0,0.0448809523809523,1.0,3.0,1.0,2.0,1.02,2.0,2.0,1.0,4.0,,,,,,
8941,0.0,3.0,2.0,8.0,0.0,0.0,12.0,2.0,3.0,1.105,2.0,3.0,1.0,4.0,,,,,,
8942,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,2.0,1.05,2.11351403700211,0.0,0.0,4.0,,,,,,
8943,1.0,3.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,1.04,2.0,2.0,1.0,4.0,,,,,,
8944,2.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,2.0,1.05,2.08811476891346,0.0,0.0,4.0,,,,,,
8945,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,2.0,1.12666666666667,2.12621791648197,0.0,0.0,4.0,,,,,,
8946,1.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0375,2.0,2.0,1.0,0.0,,,,,,
8947,2.0,14.0,0.0,0.0,-1.5109441475758e-16,1.7903653855679,8.23959639073015,0.0,1.0,1.02,1.84859363947599,0.0,0.0,3.0,,,,,,
8948,1.0,3.0,0.0,0.0,0.0,2.0,13.0,0.0,2.0,1.185,2.0,2.0,1.0,0.0,,,,,,
8949,2.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.085,2.10843087870816,0.0,0.0,0.0,,,,,,
8950,1.0,3.0,1.0,7.270299728771,0.0,1.0,12.0,1.0,2.0,1.03,2.0,1.0,1.0,4.0,,,,,,
8951,1.0,3.0,2.0,0.0,0.0,1.0,12.0,2.0,2.0,1.06,2.0,1.0,1.0,4.0,,,,,,
8952,1.0,3.0,2.0,0.0,0.0399999999999999,1.19191853685939,7.78615087766772,0.0,1.0,1.0,1.86412121212121,0.0,0.0,3.0,,,,,,
8953,1.0,3.0,0.0,0.0,-1.0616507672978099e-16,1.04378857923808,5.55406919950447,0.0,1.0,1.02,2.19333922955975,0.0,0.0,3.0,,,,,,
8954,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.06166666666667,2.0198141025641,0.0,0.0,4.0,,,,,,
8955,3.0,6.0,1.0,0.0,0.0,3.0,12.0,1.0,2.0,1.205,1.96736172569064,0.0,0.0,0.0,,,,,,
8956,2.0,14.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.15666666666667,2.0,1.0,1.0,0.0,,,,,,
8957,0.0,14.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.11,2.0,1.0,1.0,0.0,,,,,,
8958,1.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0675,1.0,2.0,1.0,0.0,,,,,,
8959,2.0,3.0,2.0,17.0,0.0,2.0,12.0,2.0,3.0,1.065,2.05152342729812,0.0,0.0,4.0,,,,,,
8960,2.0,3.0,4.0,24.0,0.0,2.0,12.0,4.0,2.0,1.07,1.90510273930596,0.0,0.0,4.0,,,,,,
8961,3.0,10.0,0.0,0.0,0.0,3.0,9.0,0.0,2.0,1.14,2.02556775113513,0.0,0.0,7.0,,,,,,
8962,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.06,1.0,1.0,1.0,0.0,,,,,,
8963,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,3.0,1.055,1.90168881683423,0.0,0.0,4.0,,,,,,
8964,0.0,15.0,3.0,0.0,0.106666666666667,1.17841357270181,6.2744170771757,0.0,1.0,1.08,2.0,1.0,1.0,0.0,,,,,,
8965,2.0,3.0,0.0,0.0,0.0799999999999999,1.75112142778719,6.19923849300528,0.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,
8966,0.0,3.0,0.0,0.0,0.0199999999999999,0.357492135029725,5.03637108724609,0.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,
8967,2.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.125,2.0,1.0,1.0,0.0,,,,,,
8968,1.0,15.0,0.0,0.0,0.0,1.0,14.0,0.0,2.0,1.06,1.84419590643275,0.0,0.0,3.0,,,,,,
8969,1.0,3.0,3.0,0.0,0.0,1.0,12.0,3.0,2.0,1.12,2.12969249439937,0.0,0.0,4.0,,,,,,
8970,1.80545346377077,16.0,0.0,4.94365567765568,0.0,2.0,12.0,0.0,3.0,1.125,1.93294303397752,0.0,0.0,0.0,,,,,,
8971,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0775,2.0,2.0,1.0,0.0,,,,,,
8972,1.86799566925052,6.0,2.0,2.14680734532056,0.0,2.0,3.0,2.0,2.0,1.056,2.03880965389458,0.0,0.0,0.0,,,,,,
8973,2.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0685,2.0,1.0,1.0,0.0,,,,,,
8974,2.0,3.0,3.0,0.0,0.0,2.0,12.0,3.0,2.0,1.12666666666667,2.03067925070023,0.0,0.0,4.0,,,,,,
8975,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.07,2.02686951754386,0.0,0.0,7.0,,,,,,
8976,1.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,1.16,2.0,3.0,1.0,4.0,,,,,,
8977,2.0,1.0,3.0,4.64529070051257,0.0,2.0,6.0,3.0,3.0,1.12,1.8941191777041,0.0,0.0,0.0,,,,,,
8978,1.0,3.0,1.0,0.0,0.200701754385965,1.04667845485866,9.0,1.0,2.0,1.05,1.50731344733774,0.0,0.0,0.0,,,,,,
8979,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,2.0,1.205,1.97079275656474,0.0,0.0,1.0,,,,,,
8980,2.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0975,1.0,3.0,1.0,0.0,,,,,,
8981,3.0,3.0,1.0,0.0,0.0499999999999999,2.44478515806063,9.0,1.0,2.0,1.02,1.0,1.0,1.0,4.0,,,,,,
8982,2.0,3.0,0.0,0.0,0.0,2.0,13.0,0.0,2.0,1.19666666666667,2.16009488643157,0.0,0.0,0.0,,,,,,
8983,2.0,3.0,1.0,17.0,0.0,2.0,3.0,1.0,2.0,1.15666666666667,2.13300280736574,0.0,0.0,4.0,,,,,,
8984,2.0,3.0,0.0,0.0,0.0,2.0,12.0,0.0,2.0,1.03,2.09314381270903,0.0,0.0,4.0,,,,,,
8985,2.0,3.0,0.0,0.0,0.0,2.0,12.0,0.0,2.0,1.03,2.15207714604236,0.0,0.0,4.0,,,,,,
8986,2.0,3.0,0.0,3.51780538302277,0.0,1.0,13.0,0.0,2.0,1.13,2.0,1.0,1.0,0.0,,,,,,
8987,1.0,14.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0975,1.0,2.0,1.0,0.0,,,,,,
8988,1.0,3.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,1.135,2.06531353285227,0.0,0.0,0.0,,,,,,
8989,2.0,3.0,1.0,0.0,0.0,2.0,12.0,1.0,2.0,1.16666666666667,2.0,1.0,1.0,4.0,,,,,,
8990,2.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.16666666666667,2.0,2.0,1.0,4.0,,,,,,
8991,2.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,2.0,1.08666666666667,2.1203439826608,0.0,0.0,4.0,,,,,,
8992,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.12,2.0,5.0,1.0,0.0,,,,,,
8993,1.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.085,2.13055555555556,0.0,0.0,0.0,,,,,,
8994,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1.03,2.13706967542861,0.0,0.0,4.0,,,,,,
8995,1.0,3.0,1.0,0.0,0.0,1.0,12.0,1.0,2.0,1.06,2.0,1.0,1.0,4.0,,,,,,
8996,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.06666666666667,2.1953073199024,0.0,0.0,4.0,,,,,,
8997,0.0,3.0,1.0,1.0,0.116666666666667,0.768811355311355,7.42427760334903,0.0,1.0,1.06,1.0,1.0,1.0,0.0,,,,,,
8998,0.0,3.0,2.0,0.0,0.0871999999999999,0.308763177678678,7.9360435092297,0.0,1.0,1.0,1.8106438598979,0.0,0.0,3.0,,,,,,
8999,0.0,12.0,2.0,0.0,0.0,0.0,12.0,2.0,2.0,1.06,0.0,1.0,1.0,4.0,,,,,,
9000,3.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.05,2.20034216466151,0.0,0.0,0.0,,,,,,
9001,2.0,14.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,1.09666666666667,2.12636162414659,0.0,0.0,0.0,,,,,,
9002,1.0,15.0,0.0,0.0,0.105,1.1482380350832,9.43110757151527,0.0,1.0,1.0,1.98643266171792,0.0,0.0,4.0,,,,,,
9003,0.0,3.0,0.0,0.0,0.0099999999999999,0.670782335929149,7.31135945633314,0.0,1.0,1.01,0.0,1.0,1.0,3.0,,,,,,
9004,2.0,3.0,1.0,0.0,0.0466666666666666,1.77087835153923,7.95091507698651,0.0,1.0,1.06,1.0,2.0,1.0,0.0,,,,,,
9005,2.0,3.0,3.0,0.0,0.0,2.0,3.0,3.0,2.0,1.06,2.0,1.0,1.0,4.0,,,,,,
9006,1.0,3.0,3.0,0.0,0.0,1.0,12.0,3.0,5.0,1.095,1.0,2.0,1.0,4.0,,,,,,
9007,2.0,6.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.07,2.0,1.0,1.0,0.0,,,,,,
9008,2.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,1.07,1.0,3.0,1.0,4.0,,,,,,
9009,1.0,14.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.1625,1.0,1.0,1.0,0.0,,,,,,
9010,2.0,7.0,0.0,8.0,0.0016416510318948,1.90975368662534,8.57790530651947,0.0,1.0,1.02,2.01649547936484,0.0,0.0,3.0,,,,,,
9011,3.0,0.0,0.0,1.0,-1.21638810135494e-16,2.06434653854944,9.76182930383148,0.0,1.0,1.03,1.97072261072261,0.0,0.0,3.0,,,,,,
9012,1.23496558099913,3.0,0.0,8.0,0.0658519388954171,1.03758179119483,9.0,0.0,3.0,1.0,1.98583333333333,0.0,0.0,4.0,,,,,,
9013,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0925,2.14186544515044,0.0,0.0,0.0,,,,,,
9014,1.0,3.0,1.0,0.0,0.0,1.0,12.0,1.0,3.0,1.05,2.0,1.0,1.0,4.0,,,,,,
9015,0.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.08,2.14242318918051,0.0,0.0,0.0,,,,,,
9016,3.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.07,2.0,1.0,1.0,0.0,,,,,,
9017,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.03,2.0780487804878,0.0,0.0,4.0,,,,,,
9018,3.0,3.0,3.0,0.0,0.0,3.0,12.0,3.0,2.0,1.15166666666667,2.0,1.0,1.0,4.0,,,,,,
9019,2.0,3.0,0.0,0.0,0.0,1.0,13.0,0.0,3.0,1.24666666666667,2.0,1.0,1.0,0.0,,,,,,
9020,2.0,10.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0,1.32166666666667,1.0,1.0,1.0,0.0,,,,,,
9021,2.0,3.0,2.0,0.0,0.0,2.0,12.0,2.0,2.0,1.06,2.14091067890311,0.0,0.0,4.0,,,,,,
9022,1.0,3.0,0.0,8.0,0.0,1.0,3.0,5.0,2.0,1.07,2.0,1.0,1.0,4.0,,,,,,
9023,1.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0675,2.0,2.0,1.0,0.0,,,,,,
9024,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.04,2.08552917330329,0.0,0.0,7.0,,,,,,
9025,3.0,3.0,2.0,0.0,0.0,3.0,12.0,2.0,2.0,1.11166666666667,2.0,1.0,1.0,4.0,,,,,,
