V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
N,NOT REPORTED,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,B,1,,NON-COLLISION,,,,"SEDAN, 2 DOOR"
N,NOT REPORTED,4,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,4,20,2,,,0,PDO,ANGLE,,,,PICKUP
N,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,N,STOPPED,0,59,2,,,0,PDO,REAR-END,,,,SEDAN
E,GOING STRAIGHT,2,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,E,GOING STRAIGHT,2,39,2,,,0,PDO,"SIDESWIPE, MEETING",,,,
W,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,GOING STRAIGHT,0,43,2,,C,2,,ANGLE,,,,TOW TRUCK/WRECKER
S,GOING STRAIGHT,3,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,STOPPED,3,49,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,GOING STRAIGHT,2,58,2,,B,2,,REAR-END,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,0,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,0,42,2,,,0,PDO,"SIDESWIPE, MEETING",,,,CARRY-ALL
N,GOING STRAIGHT,2,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,2,64,3,,C,1,,REAR-END,,,,PICKUP
S,UNKNOWN,2,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,S,GOING STRAIGHT,2,23,2,,,0,PDO,ANGLE,,,,"HATCHBACK, 4 DOOR"
E,GOING STRAIGHT,3,APPARENTLY NORMAL,MECHANICAL DEFECTS: ROAD DEFECT,,,,0,0,1,,A,2,,NON-COLLISION,,,,MOPED
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,50,2,,A,2,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,OTHER IMPROPER DRIVING,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,S,TURNING LEFT,0,36,2,,B,1,,ANGLE,,,YES,MOTORCYCLE
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,E,STOPPED,0,0,2,,,0,PDO,REAR-END,,,,CARRY-ALL
W,GOING STRAIGHT,2,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: OVER-CORRECTING/OVER-STEERING: RAN OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,ANGLE,,,,PICKUP
N,GOING STRAIGHT,2,HAD BEEN DRINKING,EXCEEDED AUTHORIZED SPEED LIMIT,APPARENTLY NORMAL,N,GOING STRAIGHT,2,22,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,0,INATTENTION/DISTRACTED,,APPARENTLY NORMAL,W,STOPPED,0,0,2,,,0,PDO,REAR-END,,,,AMBULANCE
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,0,28,2,,C,1,,REAR-END,,,,"HATCHBACK, 4 DOOR"
S,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,44,2,,B,6,,ANGLE,,,,PICKUP
S,TURNING RIGHT,3,,HIT AND RUN,APPARENTLY NORMAL,S,GOING STRAIGHT,3,28,2,,,0,PDO,REAR-END,,,,
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,,,,0,0,1,,B,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,NOT REPORTED,0,HAD BEEN DRINKING,OBJECT AVOIDANCE,APPARENTLY NORMAL,S,GOING STRAIGHT,0,26,2,,C,1,,"SIDESWIPE, MEETING",,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,S,STOPPED,0,53,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,SEDAN
E,GOING STRAIGHT,3,INATTENTION/DISTRACTED,,APPARENTLY NORMAL,E,STOPPED,3,29,2,,B,4,,REAR-END,,,,PICKUP
S,GOING STRAIGHT,1,,,,,PARKED,1,0,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,TURNING RIGHT,4,68,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,3,,HIT AND RUN,APPARENTLY NORMAL,S,STOPPED,3,34,2,,C,1,,REAR-END,,,,"SEDAN, 2 DOOR"
S,TURNING LEFT,0,,HIT AND RUN,APPARENTLY NORMAL,N,GOING STRAIGHT,0,18,2,,,0,PDO,NON-COLLISION,,,,
W,GOING STRAIGHT,1,ILLNESS,WRONG SIDE OR WRONG WAY: DROVE LEFT OF CENTER,APPARENTLY NORMAL,E,GOING STRAIGHT,1,20,2,,C,1,,HEAD-ON,,,,"SEDAN, 4 DOOR"
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,45,2,,C,2,,ANGLE,,,,CONVERTIBLE
N,GOING STRAIGHT,3,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,3,28,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,,HIT AND RUN,APPARENTLY NORMAL,S,GOING STRAIGHT,0,73,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,CARRY-ALL
S,GOING STRAIGHT,2,OTHER IMPROPER DRIVING,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,N,STOPPED,2,49,2,,C,1,,REAR-END,,,,UTILITY
S,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,S,GOING STRAIGHT,0,57,2,,B,1,,REAR-END,,,,VAN
S,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,1,47,2,,C,1,,REAR-END,,,,CARRY-ALL
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,44,2,,C,2,,ANGLE,,,,CARRY-ALL
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,GOING STRAIGHT,0,40,3,,B,2,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,INATTENTION/DISTRACTED,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,0,59,2,,,0,PDO,REAR-END,,,,VAN
N,GOING STRAIGHT,4,APPARENTLY NORMAL,,,N,GOING STRAIGHT,4,39,2,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
S,GOING STRAIGHT,3,,HIT AND RUN,APPARENTLY NORMAL,S,STOPPED,3,30,2,,,0,PDO,REAR-END,,,,
S,GOING STRAIGHT,1,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,GOING STRAIGHT,1,53,2,,C,1,,REAR-END,,,,CARRY-ALL
W,GOING STRAIGHT,3,,HIT AND RUN: OTHER IMPROPER DRIVING,APPARENTLY NORMAL,W,GOING STRAIGHT,3,18,2,,B,1,,REAR-END,,,,
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,TURNING LEFT,0,22,2,,B,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,3,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,W,STOPPED,3,36,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,E,GOING STRAIGHT,0,45,2,,C,1,,ANGLE,,,YES,MOTORCYCLE
W,GOING STRAIGHT,1,APPARENTLY NORMAL,EXCEEDED AUTHORIZED SPEED LIMIT: FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,B,1,,NON-COLLISION,,,,UTILITY
S,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,E,GOING STRAIGHT,0,47,2,,C,1,,ANGLE,,,,CARRY-ALL
E,GOING STRAIGHT,1,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,UNKNOWN,0,,HIT AND RUN: UNKNOWN,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,50,2,,B,2,,ANGLE,,,,CARRY-ALL
S,GOING STRAIGHT,3,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: OVER-CORRECTING/OVER-STEERING: UNSAFE LANE CHANGE,,,,0,0,1,,B,2,,NON-COLLISION,,,,"HATCHBACK, 4 DOOR"
W,NOT REPORTED,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,MAKING U-TURN,0,APPARENTLY NORMAL,MADE AN IMPROPER TURN,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,3,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
E,NOT REPORTED,2,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,2,62,2,,C,3,,ANGLE,,,,CARRY-ALL
N,MAKING U-TURN,1,APPARENTLY NORMAL,MADE AN IMPROPER TURN,APPARENTLY NORMAL,N,GOING STRAIGHT,1,23,2,,C,1,,ANGLE,,,,"SEDAN, 2 DOOR"
N,GOING STRAIGHT,2,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,2,0,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,GOING STRAIGHT,0,41,2,,B,2,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,TURNING LEFT,0,48,2,,C,1,,ANGLE,,,,PICKUP
S,GOING STRAIGHT,0,DRUG INVOLVEMENT,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,STOPPED,0,36,2,,C,1,,REAR-END,,,,"HARDTOP, 4 DOOR"
E,GOING STRAIGHT,1,APPARENTLY NORMAL,EXCEEDED AUTHORIZED SPEED LIMIT,APPARENTLY NORMAL,E,MAKING U-TURN,1,60,2,,B,1,,ANGLE,,,YES,MOTORCYCLE
S,TURNING LEFT,2,,FAILED TO YIELD RIGHT OF WAY: HIT AND RUN,APPARENTLY NORMAL,W,GOING STRAIGHT,2,42,2,,C,3,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,W,TURNING LEFT,0,0,2,,,0,PDO,ANGLE,,,,CARRY-ALL
W,GOING STRAIGHT,0,,FOLLOWED TOO CLOSELY: HIT AND RUN,APPARENTLY NORMAL,W,STOPPED,0,50,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,2,APPARENTLY NORMAL,,INATTENTION/DISTRACTED,W,CHANGING LANES,2,32,2,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,47,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,,RAN OFF ROAD,,,,0,0,1,,C,1,,NON-COLLISION,,,,PICKUP
S,TURNING LEFT,3,HAD BEEN DRINKING,FAILED TO YIELD RIGHT OF WAY: MADE AN IMPROPER TURN,APPARENTLY NORMAL,N,GOING STRAIGHT,3,31,2,,B,2,,ANGLE,,,,CARRY-ALL
S,MAKING U-TURN,1,,HIT AND RUN: OTHER IMPROPER DRIVING,APPARENTLY NORMAL,S,GOING STRAIGHT,1,21,2,,C,2,,ANGLE,,,,PICKUP
E,MAKING U-TURN,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,21,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,0,OTHER IMPROPER DRIVING,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,0,60,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,,HIT AND RUN: DRIVERLESS VEHICLE,,,PARKED,0,0,2,,,0,PDO,"SIDESWIPE, MEETING",,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,,,,0,0,1,,,0,PDO,ANGLE,,,,PICKUP
N,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,TURNING LEFT,0,20,2,,C,1,,"SIDESWIPE, OVERTAKING",,,,CARRY-ALL
S,TURNING LEFT,0,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",MECHANICAL DEFECTS: ROAD DEFECT,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"TRACTOR TRUCK, DIESEL"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
N,GOING STRAIGHT,0,,HIT AND RUN,APPARENTLY NORMAL,N,GOING STRAIGHT,0,47,2,,C,1,,"SIDESWIPE, OVERTAKING",,,,
E,GOING STRAIGHT,0,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CONCRETE MIXER
S,CHANGING LANES,4,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,4,27,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"HATCHBACK, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
W,GOING STRAIGHT,3,DRUG INVOLVEMENT,,APPARENTLY NORMAL,W,STOPPED,3,43,2,,C,1,,REAR-END,,,,"SEDAN, 2 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,GOING STRAIGHT,0,59,2,,C,3,,ANGLE,,,,"SEDAN, 4 DOOR"
,NOT REPORTED,2,,,,,,0,0,1,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
E,TURNING RIGHT,2,,HIT AND RUN,APPARENTLY NORMAL,E,GOING STRAIGHT,2,0,2,,,0,PDO,ANGLE,,,,PICKUP
N,GOING STRAIGHT,4,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,4,59,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,GOING STRAIGHT,4,41,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,4,0,3,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,STOPPED,4,28,3,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,5,39,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,5,82,2,,C,3,,REAR-END,,,,"HATCHBACK, 4 DOOR"
N,GOING STRAIGHT,0,INATTENTION/DISTRACTED,,APPARENTLY NORMAL,N,STOPPED,0,61,2,,B,1,,REAR-END,,,,"SEDAN, 2 DOOR"
N,NOT REPORTED,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,ANGLE,,,,"SEDAN, 2 DOOR"
W,STOPPED,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,W,GOING STRAIGHT,0,44,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
S,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,1,26,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,3,,HIT AND RUN,APPARENTLY NORMAL,W,NOT REPORTED,3,34,2,,,0,PDO,ANGLE,,,,PICKUP
N,CHANGING LANES,1,,HIT AND RUN,APPARENTLY NORMAL,N,GOING STRAIGHT,1,45,2,,C,4,,"SIDESWIPE, OVERTAKING",,,,
N,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,1,26,3,,,0,PDO,REAR-END,,,,"SEDAN, 2 DOOR"
S,TURNING RIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,TURNING RIGHT,0,60,2,,C,2,,REAR-END,,,,CARRY-ALL
S,CHANGING LANES,3,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,S,CHANGING LANES,3,66,3,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"HARDTOP, 4 DOOR"
N,TURNING LEFT,3,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,3,31,2,,,0,PDO,ANGLE,,,,CARRY-ALL
S,NOT REPORTED,2,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,2,57,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,CARRY-ALL
W,TURNING RIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,W,TURNING RIGHT,0,49,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,S,GOING STRAIGHT,2,74,3,,B,2,,REAR-END,,,,"HATCHBACK, 4 DOOR"
W,GOING STRAIGHT,0,APPARENTLY NORMAL,OBJECT AVOIDANCE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
W,GOING STRAIGHT,0,INATTENTION/DISTRACTED,,APPARENTLY NORMAL,W,GOING STRAIGHT,0,41,3,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,2,36,2,,C,1,,REAR-END,,,,"HATCHBACK, 4 DOOR"
E,TURNING RIGHT,0,APPARENTLY NORMAL,MADE AN IMPROPER TURN: DROVE LEFT OF CENTER: RAN OFF ROAD,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"HATCHBACK, 4 DOOR"
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,17,3,,C,1,,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,4,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,4,36,3,,A,2,,REAR-END,,,,"SEDAN, 4 DOOR"
E,CHANGING LANES,0,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,E,GOING STRAIGHT,0,18,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,PICKUP
S,BACKING UP,1,APPARENTLY NORMAL,UNSAFE BACKING,APPARENTLY NORMAL,N,STOPPED,1,54,2,,,0,PDO,BACKING,,,,BUS
W,GOING STRAIGHT,1,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,W,STOPPED,1,31,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,NOT REPORTED,3,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,,,GOING STRAIGHT,3,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,0,62,2,,,0,PDO,REAR-END,,,,OTHER
N,GOING STRAIGHT,3,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,3,27,2,,C,1,,REAR-END,,,,3-DOOR
N,CHANGING LANES,3,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,3,44,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,CARRY-ALL
N,TURNING RIGHT,0,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"HARDTOP, 4 DOOR"
S,CHANGING LANES,1,,OBJECT AVOIDANCE,APPARENTLY NORMAL,S,STOPPED,1,34,2,,B,1,,"SIDESWIPE, OVERTAKING",,,YES,MOTORCYCLE
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,GOING STRAIGHT,0,44,2,,C,2,,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,W,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,APPARENTLY NORMAL,,,S,CHANGING LANES,1,0,2,,,0,PDO,NON-COLLISION,,,,PICKUP
S,TURNING RIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,0,43,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,TURNING RIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,STOPPED,0,47,2,,,0,PDO,REAR-END,,,,CARRY-ALL
S,GOING STRAIGHT,3,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,S,STOPPED,3,28,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,1,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,E,STOPPED,1,38,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,TURNING LEFT,0,64,2,,C,1,,BACKING,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,2,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,E,STOPPED,2,42,2,,C,2,,REAR-END,,,,CARRY-ALL
N,TURNING LEFT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,GOING STRAIGHT,0,58,2,,B,1,,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,,HIT AND RUN,APPARENTLY NORMAL,W,TURNING LEFT,0,30,2,,,0,PDO,ANGLE,,,,
N,GOING STRAIGHT,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,2,62,2,,,0,PDO,REAR-END,,,,PICKUP
S,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,0,26,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,TURNING RIGHT,3,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,E,GOING STRAIGHT,3,34,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
S,NOT REPORTED,2,,HIT AND RUN,APPARENTLY NORMAL,S,NOT REPORTED,2,28,3,,C,1,,ANGLE,,,,
