V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,S,GOING STRAIGHT,0,53,3,,C,1,,ANGLE,,,,"SEDAN, 2 DOOR"
W,TURNING LEFT,0,OBSTRUCTED VIEW,FAILED TO YIELD RIGHT OF WAY: VISIBILITY OBSTRUCTED,APPARENTLY NORMAL,N,GOING STRAIGHT,0,70,2,,C,1,,ANGLE,,,,PICKUP
N,MAKING U-TURN,0,APPARENTLY NORMAL,MADE AN IMPROPER TURN,APPARENTLY NORMAL,S,BACKING UP,0,39,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,CHANGING LANES,3,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,3,31,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,SEMI
E,MAKING U-TURN,0,APPARENTLY NORMAL,MADE AN IMPROPER TURN,APPARENTLY NORMAL,W,GOING STRAIGHT,0,30,2,,C,1,,ANGLE,,,,MOPED
E,TURNING LEFT,3,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"TRACTOR TRUCK, GASOLINE"
S,GOING STRAIGHT,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,2,32,3,,C,2,,REAR-END,,,,CARRY-ALL
W,GOING STRAIGHT,0,HAD BEEN DRINKING,,APPARENTLY NORMAL,W,STOPPED,0,30,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,E,STOPPED,0,0,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,28,3,,C,4,,ANGLE,,,,CARRY-ALL
E,GOING STRAIGHT,1,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",DROVE LEFT OF CENTER,APPARENTLY NORMAL,W,GOING STRAIGHT,1,21,3,,B,1,,"SIDESWIPE, MEETING",,,,"HATCHBACK, 4 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,41,2,,C,3,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,3,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
W,TURNING LEFT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,E,GOING STRAIGHT,0,42,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,GOING STRAIGHT,0,22,4,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,1,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,E,STOPPED,1,50,2,,,0,PDO,ANGLE,,,,UTILITY
E,GOING STRAIGHT,0,INATTENTION/DISTRACTED,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,44,2,,B,1,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,1,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,1,46,4,,C,2,,REAR-END,,,,"HARDTOP, 2 DOOR"
N,GOING STRAIGHT,2,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,2,55,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,3,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,3,25,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,29,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
W,TURNING RIGHT,1,APPARENTLY NORMAL,MADE AN IMPROPER TURN,APPARENTLY NORMAL,W,STOPPED,1,40,2,,,0,PDO,ANGLE,,,,BUS
